SNO,INSTCODE,NAME OF THE INSTITUTION,TYPE,INST_REG,new_dist,PLACE,COED,AFFL.,ESTD,A_REG,branch_code,OC_BOYS,OC_GIRLS,SC_BOYS,SC_GIRLS,ST_BOYS,ST_GIRLS,BCA_BOYS,BCA_GIRLS,BCB_BOYS,BCB_GIRLS,BCC_BOYS,BCC_GIRLS,BCD_BOYS,BCD_GIRLS,BCE_BOYS,BCE_GIRLS,OC_EWS_BOYS,OC_EWS_GIRLS
11,ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,AU,Kakinada,PEDDAPURAM,COED,JNTUK,2004,AU,EEE,49158,49158,158140,158140,162896,162896,99964,99964,109687,109687,49158,49158,83745,83745,84722,84722,55707,55644
12,ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,AU,Kakinada,PEDDAPURAM,COED,JNTUK,2004,AU,INF,37216,37216,152287,158393,154576,156260,84845,84845,60924,60924,140060,140060,59396,59396,131808,131808,41596,40279
13,ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,AU,Kakinada,PEDDAPURAM,COED,JNTUK,2004,AU,MEC,65182,122918,176499,176499,159792,161231,131468,131468,100592,122918,65182,136129,108178,122918,142038,142038,84177,128039
14,ACPS,ADITYA COLLEGE OF PHARMACY,PVT,AU,Kakinada,PEDDAPURAM,COED,JNTUK,2006,AU,PHD,80115,80115,121336,121336,126509,126509,80115,80115,80115,133398,80115,80115,80115,155852,80115,129682,94987,94646
15,ANURSF,ADI KAVI NANNAYA UNIVERSITY COLLEGE OF ENGG.-SELF FINANCE,SF,AU,East Godavari,RAJAHMUNDRY,COED,AKNU,2016,AU,CIV,107746,171703,176873,176873,169855,171703,148777,171703,129395,171703,107746,171703,170736,171703,153026,171703,171428,172882
16,ANURSF,ADI KAVI NANNAYA UNIVERSITY COLLEGE OF ENGG.-SELF FINANCE,SF,AU,East Godavari,RAJAHMUNDRY,COED,AKNU,2016,AU,CSE,41808,41808,77207,77207,110043,110043,110559,110559,112886,112886,51640,51640,44549,84434,75803,75803,58836,47585
17,ANURSF,ADI KAVI NANNAYA UNIVERSITY COLLEGE OF ENGG.-SELF FINANCE,SF,AU,East Godavari,RAJAHMUNDRY,COED,AKNU,2016,AU,ECE,39968,39968,110237,110237,129384,129384,108925,168062,157734,157734,56048,56048,60525,107253,145834,145834,76888,71433
18,ANURSF,ADI KAVI NANNAYA UNIVERSITY COLLEGE OF ENGG.-SELF FINANCE,SF,AU,East Godavari,RAJAHMUNDRY,COED,AKNU,2016,AU,EIE,101020,101020,174514,174514,101020,130904,149468,149468,169478,169478,101020,129594,142882,158705,101020,101020,151777,151998
19,ANURSF,ADI KAVI NANNAYA UNIVERSITY COLLEGE OF ENGG.-SELF FINANCE,SF,AU,East Godavari,RAJAHMUNDRY,COED,AKNU,2016,AU,MEC,101368,101368,177045,177045,175316,175316,169572,169572,154389,171143,101368,101368,155682,155682,101368,101368,147022,139484
20,BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,AU,Konaseema,ODALAREVU,COED,JNTUK,1997,AU,AIM,68839,68839,163892,176151,152821,163749,132734,132734,127028,150967,68839,68839,90093,105862,146316,146316,79663,95086
21,BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,AU,Konaseema,ODALAREVU,COED,JNTUK,1997,AU,CAD,67481,69874,177207,177207,170660,176801,148200,156752,133546,133546,67481,69874,164088,164088,79799,157673,81456,80460
22,BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,AU,Konaseema,ODALAREVU,COED,JNTUK,1997,AU,CIV,126892,150223,165043,174759,149670,153179,172334,172334,169524,169524,152757,152757,153377,153377,151162,171962,147923,167691
23,BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,AU,Konaseema,ODALAREVU,COED,JNTUK,1997,AU,CSE,56054,56054,155249,165172,153701,153701,91993,156579,131947,131947,77566,81066,107645,107645,85643,85643,69853,67433
24,BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,AU,Konaseema,ODALAREVU,COED,JNTUK,1997,AU,CSM,63316,63316,174346,174346,165324,165324,158651,158651,128800,131550,85114,85114,133539,133539,130701,130701,71840,84869
25,BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,AU,Konaseema,ODALAREVU,COED,JNTUK,1997,AU,ECE,82990,101257,177602,177602,170120,170120,154673,154673,141829,147379,103236,103236,111320,170237,148161,148161,94252,99703
26,BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,AU,Konaseema,ODALAREVU,COED,JNTUK,1997,AU,EEE,115620,115620,163324,163324,115777,122554,154618,160586,149011,155973,115620,134357,176136,176136,115620,115620,121281,152249
27,BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,AU,Konaseema,ODALAREVU,COED,JNTUK,1997,AU,MEC,126947,155185,161698,161698,170437,170437,175302,175302,153629,175639,126947,155185,168541,169962,141002,160988,173911,166162
28,BVCR,BVC COLLEGE OF ENGINEERING,PVT,AU,East Godavari,RAJAHMUNDRY,COED,JNTUK,2009,AU,CSE,75707,75707,176173,177469,175195,175195,176121,176121,174986,174986,151144,151144,113716,150917,169820,169820,108909,136125
29,BVCR,BVC COLLEGE OF ENGINEERING,PVT,AU,East Godavari,RAJAHMUNDRY,COED,JNTUK,2009,AU,CSM,78455,110361,173939,173939,163982,163982,174234,174234,166140,171880,78455,110361,141094,141094,166550,166550,128855,124109
30,BVCR,BVC COLLEGE OF ENGINEERING,PVT,AU,East Godavari,RAJAHMUNDRY,COED,JNTUK,2009,AU,ECE,105760,137581,142802,164764,148322,159565,154341,169506,172640,172640,161862,161862,172274,172274,139053,174966,169490,163957
31,BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,PVT,AU,Konaseema,AMALAPURAM,COED,JNTUK,2002,AU,AIM,46093,46093,139668,145085,145668,149972,86799,121264,54011,54011,46093,46093,138956,138956,46093,46093,48138,48846
32,BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,PVT,AU,Konaseema,AMALAPURAM,COED,JNTUK,2002,AU,CAD,52009,52009,141849,141849,149870,149870,76399,76399,60827,66208,52009,120111,98215,98215,96648,96648,60583,60405
33,BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,PVT,AU,Konaseema,AMALAPURAM,COED,JNTUK,2002,AU,CIV,126466,126466,177041,177041,170816,176697,156955,169635,172946,172946,126466,126466,134042,167107,163506,163506,147726,132131
34,BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,PVT,AU,Konaseema,AMALAPURAM,COED,JNTUK,2002,AU,CSE,37462,37462,126781,126781,136069,159573,60339,60339,51647,51647,161409,161409,103772,154500,159310,159310,45623,45258
35,BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,PVT,AU,Konaseema,AMALAPURAM,COED,JNTUK,2002,AU,ECE,69316,69316,161335,161335,159317,159317,144232,145911,105812,108635,79221,79221,152595,152595,175224,175224,78269,82508
36,BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,PVT,AU,Konaseema,AMALAPURAM,COED,JNTUK,2002,AU,EEE,104895,154731,149663,162506,165232,165232,162166,162166,149123,155318,104895,154731,173910,177062,132229,154731,104845,116078
37,CHKN,CHAITANYA INST. OF SCI. AND TECHNOLOGY,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2005,AU,AID,142677,142677,176942,176942,142677,142677,142677,142677,145833,145833,142677,142677,158325,158325,142677,142677,149849,159700
38,CHKN,CHAITANYA INST. OF SCI. AND TECHNOLOGY,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2005,AU,AIM,74802,82581,117666,117778,103886,107130,93154,108665,101515,116366,83629,95868,153961,153961,85756,91652,88967,91254
39,CHKN,CHAITANYA INST. OF SCI. AND TECHNOLOGY,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2005,AU,CSE,140387,140387,173133,177632,175380,175380,173533,173533,154825,172393,157499,157499,172144,172144,172916,172916,173016,166832
40,CHKN,CHAITANYA INST. OF SCI. AND TECHNOLOGY,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2005,AU,ECE,134603,134603,134603,134603,161514,161514,134603,134603,134603,134603,134603,134603,172821,172821,134603,134603,151084,144162
41,GIET,GIET ENGINEERING COLLEGE,PVT,AU,East Godavari,RAJAHMUNDRY,COED,JNTUK,2005,AU,CSE,60668,60668,165097,165510,170081,170081,126170,126170,101635,142146,97437,99981,84106,91563,174647,174647,69518,61536
42,GIET,GIET ENGINEERING COLLEGE,PVT,AU,East Godavari,RAJAHMUNDRY,COED,JNTUK,2005,AU,ECE,67794,53135,171228,177787,90349,145106,135193,135193,97764,160879,86564,53135,91042,102188,151297,151297,73885,50097
43,GIET,GIET ENGINEERING COLLEGE,PVT,AU,East Godavari,RAJAHMUNDRY,COED,JNTUK,2005,AU,INF,82739,82739,169745,172117,177286,177286,169276,174123,151052,154619,82739,86157,89694,113972,108682,108682,88633,56284
44,IDEL,IDEAL INSTITUTE OF TECHNOLOGY,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2009,AU,CSE,59107,59107,165928,176291,170932,177770,134684,144126,101953,101953,86256,86256,96463,96463,133901,156221,78991,78843
45,IDEL,IDEAL INSTITUTE OF TECHNOLOGY,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2009,AU,CSM,73985,73985,174725,174725,90522,90522,124473,154040,118012,118012,104856,104856,113024,116708,135506,135506,80295,81446
46,IDEL,IDEAL INSTITUTE OF TECHNOLOGY,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2009,AU,ECE,57918,57918,164698,173757,172577,172577,146176,146176,110188,110188,57918,57918,110671,115645,115840,115840,82387,85541
47,IDEL,IDEAL INSTITUTE OF TECHNOLOGY,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2009,AU,MEC,113733,170543,169172,170543,143922,170543,160226,170543,170351,170543,113733,170543,161721,170543,113733,170543,133196,149140
48,ISTS,INTERNATIONAL SCHOOL OF TECH AND SCI FOR WOMEN,PVT,AU,East Godavari,RAJAHMUNDRY,GIRLS,JNTUK,2010,AU,AGR,80761,137018,101132,137018,93042,137018,87084,137018,94127,137018,85561,140138,92621,137018,86809,137018,102801,116340
49,ISTS,INTERNATIONAL SCHOOL OF TECH AND SCI FOR WOMEN,PVT,AU,East Godavari,RAJAHMUNDRY,GIRLS,JNTUK,2010,AU,AIM,73480,155850,100537,173801,92486,155850,86402,175646,95650,176721,80089,155850,90772,157868,87788,155850,94999,166519
50,ISTS,INTERNATIONAL SCHOOL OF TECH AND SCI FOR WOMEN,PVT,AU,East Godavari,RAJAHMUNDRY,GIRLS,JNTUK,2010,AU,CAI,75407,140950,107028,164620,95015,142037,88396,158505,95888,176233,81527,166943,93334,168884,89818,173144,104338,160511
51,ISTS,INTERNATIONAL SCHOOL OF TECH AND SCI FOR WOMEN,PVT,AU,East Godavari,RAJAHMUNDRY,GIRLS,JNTUK,2010,AU,CSE,91770,91496,160840,175331,155081,177498,154192,171979,157551,174227,112502,109785,120976,131921,166632,174865,127510,151916
52,ISTS,INTERNATIONAL SCHOOL OF TECH AND SCI FOR WOMEN,PVT,AU,East Godavari,RAJAHMUNDRY,GIRLS,JNTUK,2010,AU,ECE,132868,135402,171494,174564,151754,160206,159654,166655,161003,174656,136236,134338,165520,149181,161728,135402,153783,143420
53,JNKFSF,SCHOOL OF FOOD TECHNOLOGY JNTUK KAKINADA-SELF FINANCE,SF,AU,Kakinada,KAKINADA,COED,JNTUK,2020,AU,FDE,67964,67964,119731,119731,129729,155669,172952,172952,120743,120743,67964,67964,111049,111049,125663,125663,96074,103437
54,JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,UNIV,AU,Kakinada,KAKINADA,COED,JNTUK,1946,AU,CIV,13331,13331,36359,36359,33306,45711,27393,27393,17509,27165,19669,19669,21200,22468,36127,36127,20441,21084
55,JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,UNIV,AU,Kakinada,KAKINADA,COED,JNTUK,1946,AU,CSE,2039,2074,4169,4169,14985,14985,2039,2074,2039,2074,2039,2074,2039,2074,2039,2967,2593,1572
56,JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,UNIV,AU,Kakinada,KAKINADA,COED,JNTUK,1946,AU,ECE,3414,3565,9204,9204,3414,17735,3414,3645,3414,3565,3704,3704,4111,4111,7462,7462,2458,2260
57,JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,UNIV,AU,Kakinada,KAKINADA,COED,JNTUK,1946,AU,EEE,5330,5330,21342,23452,22741,22741,8940,11483,9031,9031,10648,10648,7009,8194,10969,13758,5955,5725
58,JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,UNIV,AU,Kakinada,KAKINADA,COED,JNTUK,1946,AU,MEC,13200,13200,27641,37184,33216,56329,17472,26491,16237,40823,13200,13200,17877,27828,15402,15402,9091,28858
59,JNTKSF,JNTUK COLLEGE OF ENGG. KAKINADA-SELF FINANCE,SF,AU,Kakinada,KAKINADA,COED,JNTUK,1946,AU,CHE,32732,32732,98668,98668,166881,166881,61633,66574,63114,95205,32732,32732,44265,46145,32732,116365,47677,39372
60,JNTKSF,JNTUK COLLEGE OF ENGG. KAKINADA-SELF FINANCE,SF,AU,Kakinada,KAKINADA,COED,JNTUK,1946,AU,PEE,61232,70358,142767,152128,82683,145732,152945,152945,103718,123472,63162,101559,84958,89741,61232,112413,67874,89170
61,KIEK,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2009,AU,AID,124116,175724,174750,175724,167439,175724,124116,175724,176379,176379,124116,175724,176293,176293,124116,175724,169903,170062
62,KIEK,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2009,AU,CAI,155698,155698,174268,174268,155698,155698,155698,155698,155698,155698,155698,155698,172409,172409,155698,155698,175350,169065
63,KIEK,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2009,AU,CSC,132895,132895,144218,144218,132895,132895,132895,166895,132895,132895,132895,132895,152691,152691,132895,132895,162543,168044
64,KIEK,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2009,AU,CSD,175446,175446,175446,175446,175446,175446,175446,175446,175446,175446,175446,175446,175446,175446,175446,175446,168379,162928
65,KIEK,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2009,AU,CSM,146475,175469,172869,175469,170303,175469,146475,175469,176726,176726,146475,175469,176358,176358,146475,175469,176985,160979
66,KIET,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2001,AU,AID,85843,119106,175187,175187,125907,177239,172857,172857,175366,175366,109536,119106,169662,173936,159321,166777,124375,139084
67,KIET,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2001,AU,CAI,86079,92592,170541,170681,149076,153846,150868,174296,155959,174223,99375,99375,168944,176670,175801,175801,136330,173302
68,KIET,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2001,AU,CSC,89558,89558,168175,170179,177686,177686,172250,174881,166604,166604,89558,89558,136101,136101,173499,173499,122888,159945
69,KIET,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2001,AU,CSD,118085,138427,153975,177456,158234,173730,164115,164115,173352,173352,118085,138427,147832,147832,142054,161548,156734,170740
70,KIET,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2001,AU,CSM,167479,167479,170960,170960,167479,167479,171531,173503,167479,170160,167479,167479,177179,177179,167479,167479,160659,156007
71,KIEW,KAKINADA INST OF ENGG AND TECHNOLOGY FOR WOMEN,PVT,AU,Kakinada,KAKINADA,GIRLS,JNTUK,2008,AU,AID,117235,129825,159274,176498,149303,169430,141983,138801,155253,172203,124185,140699,159548,166022,146632,158810,157517,176150
72,KIEW,KAKINADA INST OF ENGG AND TECHNOLOGY FOR WOMEN,PVT,AU,Kakinada,KAKINADA,GIRLS,JNTUK,2008,AU,CAI,126040,170410,172254,170410,159319,170410,155884,170410,152529,172420,131629,132054,163968,170410,157354,170410,167040,176421
73,KIEW,KAKINADA INST OF ENGG AND TECHNOLOGY FOR WOMEN,PVT,AU,Kakinada,KAKINADA,GIRLS,JNTUK,2008,AU,CSM,113239,124396,172301,166187,165001,142504,150170,158930,152782,149564,153124,154868,143244,141544,156133,124396,157970,172840
74,KISR,KAKINADA INSTITUTE OF TECHNOLOGY SCIENCES,PVT,AU,Konaseema,RAMACHANDRAPURAM,COED,JNTUK,2008,AU,AIM,129221,174324,165176,174324,148232,174324,151070,174324,147031,174324,111835,174324,152261,174324,159785,174324,131006,140716
75,KISR,KAKINADA INSTITUTE OF TECHNOLOGY SCIENCES,PVT,AU,Konaseema,RAMACHANDRAPURAM,COED,JNTUK,2008,AU,CSE,139261,139261,176679,176679,139261,170297,139261,139261,139261,155279,139261,139261,159900,159900,139261,139261,150118,150283
76,KISR,KAKINADA INSTITUTE OF TECHNOLOGY SCIENCES,PVT,AU,Konaseema,RAMACHANDRAPURAM,COED,JNTUK,2008,AU,ECE,118590,118590,166676,168496,162179,162179,154201,154201,170872,170872,118590,118590,118590,171562,118590,118590,130718,136921
77,KTSP,KAKINADA INSTITUTE OF TECHNOLOGY AND SCIENCE,PVT,AU,Kakinada,DIVILI,COED,JNTUK,2008,AU,CIV,149191,149191,149191,165018,172050,172050,149191,149191,149191,149191,149191,149191,149191,149191,149191,149191,155508,152094
78,KTSP,KAKINADA INSTITUTE OF TECHNOLOGY AND SCIENCE,PVT,AU,Kakinada,DIVILI,COED,JNTUK,2008,AU,CSE,108657,108657,163227,163227,160680,160680,173704,173704,133281,133281,108657,109119,154234,172011,127081,169119,159674,149060
79,KTSP,KAKINADA INSTITUTE OF TECHNOLOGY AND SCIENCE,PVT,AU,Kakinada,DIVILI,COED,JNTUK,2008,AU,ECE,102445,105596,171546,171546,157470,170544,151770,171858,169267,169267,102445,105596,161069,161069,171152,171152,175619,166561
80,KTSP,KAKINADA INSTITUTE OF TECHNOLOGY AND SCIENCE,PVT,AU,Kakinada,DIVILI,COED,JNTUK,2008,AU,MEC,156488,156488,164710,164710,156488,156488,156488,156488,156488,156488,156488,156488,156488,156488,156488,156488,161427,170434
81,LENO,LENORA COLLEGE OF ENGINEERING,PVT,AU,Alluri Sitharama Raju,RAMPACHODAVARAM,COED,JNTUK,2000,AU,CIV,177255,177255,177255,177255,177255,177255,177255,177255,177255,177255,177255,177255,177255,177255,177255,177255,116413,116923
82,LENO,LENORA COLLEGE OF ENGINEERING,PVT,AU,Alluri Sitharama Raju,RAMPACHODAVARAM,COED,JNTUK,2000,AU,CSE,147210,147210,164570,164570,156034,156034,167574,167574,150708,150708,147210,147210,165933,174492,147210,147210,166591,132274
83,LENO,LENORA COLLEGE OF ENGINEERING,PVT,AU,Alluri Sitharama Raju,RAMPACHODAVARAM,COED,JNTUK,2000,AU,ECE,82045,164208,149457,164208,161086,164208,82045,164208,153832,164208,82045,164208,82045,164208,82045,164208,171974,110521
84,LENO,LENORA COLLEGE OF ENGINEERING,PVT,AU,Alluri Sitharama Raju,RAMPACHODAVARAM,COED,JNTUK,2000,AU,EEE,174707,174707,174707,174707,174707,174707,174707,174707,174707,174707,174707,174707,174707,174707,174707,174707,110770,110210
85,LENO,LENORA COLLEGE OF ENGINEERING,PVT,AU,Alluri Sitharama Raju,RAMPACHODAVARAM,COED,JNTUK,2000,AU,MEC,161034,161034,175906,175906,161034,161034,161034,161034,161034,161034,161034,161034,161034,161034,161034,161034,122337,116538
86,PRAG,PRAGATI ENGINEERING COLLEGE,PVT,AU,Kakinada,PEDDAPURAM,COED,JNTUK,2001,AU,CAI,29246,29246,158345,160788,158575,173525,64568,64568,68732,68732,86779,86779,60402,60402,88931,128516,35324,32175
87,PRAG,PRAGATI ENGINEERING COLLEGE,PVT,AU,Kakinada,PEDDAPURAM,COED,JNTUK,2001,AU,CIV,91293,91293,164544,177389,165475,165475,129709,148896,123343,123343,91293,152098,138179,138179,91293,91293,90447,93310
88,PRAG,PRAGATI ENGINEERING COLLEGE,PVT,AU,Kakinada,PEDDAPURAM,COED,JNTUK,2001,AU,CSD,36294,36294,157959,158331,153613,165513,87488,87488,60951,60951,37439,37439,52198,52198,138593,138593,37401,34032
89,PRAG,PRAGATI ENGINEERING COLLEGE,PVT,AU,Kakinada,PEDDAPURAM,COED,JNTUK,2001,AU,CSE,25332,25332,78730,88318,140742,163393,70486,70486,39684,39684,31736,45619,27018,28074,101052,153896,21765,22499
90,PRAG,PRAGATI ENGINEERING COLLEGE,PVT,AU,Kakinada,PEDDAPURAM,COED,JNTUK,2001,AU,CSM,26568,26568,136444,136444,130190,147276,57263,58360,42045,42045,48893,48893,31317,35006,101438,101438,27919,32734
91,PRAG,PRAGATI ENGINEERING COLLEGE,PVT,AU,Kakinada,PEDDAPURAM,COED,JNTUK,2001,AU,ECE,30816,41906,130484,151672,128802,176592,98998,98998,65196,65196,38886,69237,56810,73198,104243,111502,38802,36822
92,PRAG,PRAGATI ENGINEERING COLLEGE,PVT,AU,Kakinada,PEDDAPURAM,COED,JNTUK,2001,AU,EEE,48462,48462,167712,167712,151261,151261,92091,117151,86323,86323,48462,48462,63662,72030,50073,103607,55067,55941
93,PRAG,PRAGATI ENGINEERING COLLEGE,PVT,AU,Kakinada,PEDDAPURAM,COED,JNTUK,2001,AU,INF,37722,39045,137391,169994,143660,163433,69470,74741,68592,68592,37722,39045,44741,44741,95996,95996,34610,34451
94,PRAG,PRAGATI ENGINEERING COLLEGE,PVT,AU,Kakinada,PEDDAPURAM,COED,JNTUK,2001,AU,MEC,78209,104052,166393,177145,177477,177477,117837,126711,118467,132467,78209,104052,103244,113088,78209,174559,91550,111795
95,PREC,DR PAUL RAJS ENGINEERING COLLEGE,PVT,AU,Alluri Sitharama Raju,YETAPAKA,COED,JNTUK,1997,AU,CIV,161879,161879,161879,161879,161879,161879,161879,161879,161879,161879,161879,161879,172445,172445,161879,161879,109711,107209
96,PREC,DR PAUL RAJS ENGINEERING COLLEGE,PVT,AU,Alluri Sitharama Raju,YETAPAKA,COED,JNTUK,1997,AU,CSE,139498,139498,162749,162749,139498,139498,168534,168534,139498,139498,139498,139498,172333,172333,155758,155758,164329,137042
97,PREC,DR PAUL RAJS ENGINEERING COLLEGE,PVT,AU,Alluri Sitharama Raju,YETAPAKA,COED,JNTUK,1997,AU,ECE,113382,113382,164419,167269,177614,177614,113382,113382,152975,152975,113382,113382,113382,113382,113382,113382,152975,119434
98,PREC,DR PAUL RAJS ENGINEERING COLLEGE,PVT,AU,Alluri Sitharama Raju,YETAPAKA,COED,JNTUK,1997,AU,EEE,155306,155306,177407,177407,155306,155306,155306,155306,155306,155306,155306,155306,155306,155306,155306,155306,115112,117064
99,PREC,DR PAUL RAJS ENGINEERING COLLEGE,PVT,AU,Alluri Sitharama Raju,YETAPAKA,COED,JNTUK,1997,AU,MEC,152025,173950,152025,173950,152025,173950,152025,173950,152025,173950,152025,173950,152025,173950,152025,173950,116162,112720
100,PYDE,PYDAH COLL OF ENGINEERING,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2009,AU,CAI,90233,124789,165071,165071,98136,124789,158905,158905,140658,153806,90233,124789,145163,151114,149672,162567,160152,157392
101,PYDE,PYDAH COLL OF ENGINEERING,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2009,AU,CSE,82562,86440,175432,176663,125851,174020,176310,176310,176009,176009,144909,144909,174531,174531,174943,174943,150358,158592
102,PYDE,PYDAH COLL OF ENGINEERING,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2009,AU,ECE,123192,123192,176890,176890,167460,168177,174051,176096,171429,174248,167726,173394,173075,173075,154634,154634,175246,176239
103,RIET,RAJAMAHENDRI INST OF ENGG AND TECHNOLOGY,PVT,AU,East Godavari,RAJAHMUNDRY,COED,JNTUK,2008,AU,CSD,103446,103446,168659,176264,103446,103446,167273,167273,158890,158890,103446,103446,163014,163014,157985,157985,154446,124922
